"group","addto"
"ROLE_T0_SCHM Admin","Schema admins"
"ROLE_T0_ENTRP Admin","Enterprise admins"
"ROLE_T0_AD Admin","Domain admins"
"ROLE_T0_Global GPO Admin","GPO_Tier 0 Global GPO_MOD"
"ROLE_T0_PKI Server Admin","SRV_Tier 0 PKI SRV_MOD"
"ROLE_T0_PKI Server Admin","SRV_Tier 0 PKI SRV_RENAME"
"ROLE_T0_PKI Server Admin","SRV_Tier 0 PKI SRV_DEL"
"ROLE_T0_PKI Server Admin","SRV_Tier 0 PKI SRV_CREATE"
"ROLE_T0_PKI Server Admin","SRV_Tier 0 PKI SRV_MOVE"
"ROLE_T0_PKI Server Admin","SRV_Tier 0 PKI SRV_LOCAL ADM"
"ROLE_T0_PKI Server Admin","OU_Tier 0 PKI SRV_LINK GPO"
"ROLE_T0_PKI Server Admin","GPO_Tier 0 PKI SRV_MOD"
"ROLE_T0_Global GPO Admin","GPO_Tier 0 Global GPO_MOD"
"ROLE_T0_Privileged Access Workstation Admin","COMPTR_Tier 0 Privileged Access Workstations_MOD"
"ROLE_T0_Privileged Access Workstation Admin","COMPTR_Tier 0 Privileged Access Workstations_RENAME"
"ROLE_T0_Privileged Access Workstation Admin","COMPTR_Tier 0 Privileged Access Workstations_DEL"
"ROLE_T0_Privileged Access Workstation Admin","COMPTR_Tier 0 Privileged Access Workstations_CREATE"
"ROLE_T0_Privileged Access Workstation Admin","COMPTR_Tier 0 Privileged Access Workstations_MOVE"
"ROLE_T0_Privileged Access Workstation Admin","COMPTR_Tier 0 Privileged Access Workstations_LOCAL ADM"
"ROLE_T0_Privileged Access Workstation Admin","OU_Tier 0 Privileged Access Workstations_LINK GPO"
"ROLE_T0_Privileged Access Workstation Admin","GPO_Tier 0 Privileged Access Workstations_MOD"
"ROLE_T0_Tier 1 Administration Admin","USR_Disabled users OU_ADD"
"ROLE_T0_Tier 1 Administration Admin","USR_Tier 1 ADM Users PW_RST"
"ROLE_T0_Tier 1 Administration Admin","USR_Tier 1 ADM Users_UNLOCK"
"ROLE_T0_Tier 1 Administration Admin","USR_Tier 1 ADM Users_MANAGE"
"ROLE_T0_Tier 1 Administration Admin","USR_Tier 1 ADM Users_DISBL"
"ROLE_T0_Tier 1 Administration Admin","USR_Tier 1 ADM Users_DEL"
"ROLE_T0_Tier 1 Administration Admin","OU_Tier 1 ADM Users_LINK GPO"
"ROLE_T0_Tier 1 Administration Admin","GRP_Tier 1 ADM Roles_MANAGE"
"ROLE_T0_Tier 1 Administration Admin","GRP_Tier 1 ADM Roles_MEMBERSHIP"
"ROLE_T0_Tier 1 Administration Admin","GRP_Tier 1 ADM Access Control_MANAGE"
"ROLE_T0_Tier 1 Administration Admin","GRP_Tier 1 ADM Access Control_MEMBERSHIP"
"ROLE_T0_Tier 1 Administration Admin","GPO_Tier 1 ADM Users_MOD"
"ROLE_T0_Tier 1 Service Admin","USR_Disabled users OU_ADD"
"ROLE_T0_Tier 1 Service Admin","USR_Tier 1 Service PW_RST"
"ROLE_T0_Tier 1 Service Admin","USR_Tier 1 Service_UNLOCK"
"ROLE_T0_Tier 1 Service Admin","USR_Tier 1 Service_MANAGE"
"ROLE_T0_Tier 1 Service Admin","USR_Tier 1 Service_DISBL"
"ROLE_T0_Tier 1 Service Admin","USR_Tier 1 Service_DEL"
"ROLE_T0_Tier 1 Service Admin","MSA_Tier 1 Service_CREATE"
"ROLE_T0_Tier 1 Service Admin","MSA_Tier 1 Service_DEL"
"ROLE_T0_Tier 1 Service Admin","MSA_Tier 1 Service_MOD"
"ROLE_T0_Tier 1 Service Admin","OU_Tier 1 Service_LINK GPO"
"ROLE_T0_Tier 1 Service Admin","GPO_Tier 1 Service_MOD"
"ROLE_T0_Tier 1 Service Admin","GRP_Tier 1 Service Access Control_MANAGE"
"ROLE_T0_Tier 1 Service Admin","GRP_Tier 1 Service Access Control_MEMBERSHIP"
"ROLE_T1_Server Admin","COMPTR_Default Container_CREATE"
"ROLE_T1_Server Admin","COMPTR_Default Container_DEL"
"ROLE_T1_Server Admin","OU_Tier 1 All SRV_LINK GPO"
"ROLE_T1_Server Admin","SRV_Tier 1 Network SRV_MOD"
"ROLE_T1_Server Admin","SRV_Tier 1 Network SRV_RENAME"
"ROLE_T1_Server Admin","SRV_Tier 1 Network SRV_DEL"
"ROLE_T1_Server Admin","SRV_Tier 1 Network SRV_CREATE"
"ROLE_T1_Server Admin","SRV_Tier 1 Network SRV_MOVE"
"ROLE_T1_Server Admin","SRV_Tier 1 Network SRV_LOCAL ADM"
"ROLE_T1_Server Admin","OU_Tier 1 Network SRV_LINK GPO"
"ROLE_T1_Server Admin","SRV_Tier 1 Application SRV_MOD"
"ROLE_T1_Server Admin","SRV_Tier 1 Application SRV_RENAME"
"ROLE_T1_Server Admin","SRV_Tier 1 Application SRV_DEL"
"ROLE_T1_Server Admin","SRV_Tier 1 Application SRV_CREATE"
"ROLE_T1_Server Admin","SRV_Tier 1 Application SRV_MOVE"
"ROLE_T1_Server Admin","SRV_Tier 1 Application SRV_LOCAL ADM"
"ROLE_T1_Server Admin","OU_Tier 1 Application SRV_LINK GPO"
"ROLE_T1_Server Admin","SRV_Tier 1 File SRV_MOD"
"ROLE_T1_Server Admin","SRV_Tier 1 File SRV_RENAME"
"ROLE_T1_Server Admin","SRV_Tier 1 File SRV_DEL"
"ROLE_T1_Server Admin","SRV_Tier 1 File SRV_CREATE"
"ROLE_T1_Server Admin","SRV_Tier 1 File SRV_MOVE"
"ROLE_T1_Server Admin","SRV_Tier 1 File SRV_LOCAL ADM"
"ROLE_T1_Server Admin","OU_Tier 1 File SRV_LINK GPO"
"ROLE_T1_Server Admin","SRV_Tier 1 Update SRV_MOD"
"ROLE_T1_Server Admin","SRV_Tier 1 Update SRV_RENAME"
"ROLE_T1_Server Admin","SRV_Tier 1 Update SRV_DEL"
"ROLE_T1_Server Admin","SRV_Tier 1 Update SRV_CREATE"
"ROLE_T1_Server Admin","SRV_Tier 1 Update SRV_MOVE"
"ROLE_T1_Server Admin","SRV_Tier 1 Update SRV_LOCAL ADM"
"ROLE_T1_Server Admin","OU_Tier 1 Update SRV_LINK GPO"
"ROLE_T1_Server Admin","SRV_Tier 1 Terminal SRV_MOD"
"ROLE_T1_Server Admin","SRV_Tier 1 Terminal SRV_RENAME"
"ROLE_T1_Server Admin","SRV_Tier 1 Terminal SRV_DEL"
"ROLE_T1_Server Admin","SRV_Tier 1 Terminal SRV_CREATE"
"ROLE_T1_Server Admin","SRV_Tier 1 Terminal SRV_MOVE"
"ROLE_T1_Server Admin","SRV_Tier 1 Terminal SRV_LOCAL ADM"
"ROLE_T1_Server Admin","OU_Tier 1 Terminal SRV_LINK GPO"
"ROLE_T1_Server Admin","GPO_Tier 1 Network SRV_MOD"
"ROLE_T1_Server Admin","GPO_Tier 1 Application SRV_MOD"
"ROLE_T1_Server Admin","GPO_Tier 1 File SRV_MOD"
"ROLE_T1_Server Admin","GPO_Tier 1 Update SRV_MOD"
"ROLE_T1_Server Admin","GPO_Tier 1 Terminal SRV_MOD"
"ROLE_T1_Server Admin","GPO_Tier 1 All SRV_MOD"
"ROLE_T1_Network Server Admin","COMPTR_Default Container_CREATE"
"ROLE_T1_Network Server Admin","COMPTR_Default Container_DEL"
"ROLE_T1_Network Server Admin","SRV_Tier 1 Network SRV_MOD"
"ROLE_T1_Network Server Admin","SRV_Tier 1 Network SRV_RENAME"
"ROLE_T1_Network Server Admin","SRV_Tier 1 Network SRV_DEL"
"ROLE_T1_Network Server Admin","SRV_Tier 1 Network SRV_CREATE"
"ROLE_T1_Network Server Admin","SRV_Tier 1 Network SRV_MOVE"
"ROLE_T1_Network Server Admin","SRV_Tier 1 Network SRV_LOCAL ADM"
"ROLE_T1_Network Server Admin","OU_Tier 1 Network SRV_LINK GPO"
"ROLE_T1_Network Server Admin","GPO_Tier 1 Network SRV_MOD"
"ROLE_T1_Application Server Admin","COMPTR_Default Container_CREATE"
"ROLE_T1_Application Server Admin","COMPTR_Default Container_DEL"
"ROLE_T1_Application Server Admin","SRV_Tier 1 Application SRV_MOD"
"ROLE_T1_Application Server Admin","SRV_Tier 1 Application SRV_RENAME"
"ROLE_T1_Application Server Admin","SRV_Tier 1 Application SRV_DEL"
"ROLE_T1_Application Server Admin","SRV_Tier 1 Application SRV_CREATE"
"ROLE_T1_Application Server Admin","SRV_Tier 1 Application SRV_MOVE"
"ROLE_T1_Application Server Admin","SRV_Tier 1 Application SRV_LOCAL ADM"
"ROLE_T1_Application Server Admin","OU_Tier 1 Application SRV_LINK GPO"
"ROLE_T1_Application Server Admin","GPO_Tier 1 Application SRV_MOD"
"ROLE_T1_File Server Admin","COMPTR_Default Container_CREATE"
"ROLE_T1_File Server Admin","COMPTR_Default Container_DEL"
"ROLE_T1_File Server Admin","SRV_Tier 1 File SRV_MOD"
"ROLE_T1_File Server Admin","SRV_Tier 1 File SRV_RENAME"
"ROLE_T1_File Server Admin","SRV_Tier 1 File SRV_DEL"
"ROLE_T1_File Server Admin","SRV_Tier 1 File SRV_CREATE"
"ROLE_T1_File Server Admin","SRV_Tier 1 File SRV_MOVE"
"ROLE_T1_File Server Admin","SRV_Tier 1 File SRV_LOCAL ADM"
"ROLE_T1_File Server Admin","OU_Tier 1 File SRV_LINK GPO"
"ROLE_T1_File Server Admin","GPO_Tier 1 File SRV_MOD"
"ROLE_T1_Update Server Admin","COMPTR_Default Container_CREATE"
"ROLE_T1_Update Server Admin","COMPTR_Default Container_DEL"
"ROLE_T1_Update Server Admin","SRV_Tier 1 Update SRV_MOD"
"ROLE_T1_Update Server Admin","SRV_Tier 1 Update SRV_RENAME"
"ROLE_T1_Update Server Admin","SRV_Tier 1 Update SRV_DEL"
"ROLE_T1_Update Server Admin","SRV_Tier 1 Update SRV_CREATE"
"ROLE_T1_Update Server Admin","SRV_Tier 1 Update SRV_MOVE"
"ROLE_T1_Update Server Admin","SRV_Tier 1 Update SRV_LOCAL ADM"
"ROLE_T1_Update Server Admin","OU_Tier 1 Update SRV_LINK GPO"
"ROLE_T1_Update Server Admin","GPO_Tier 1 Update SRV_MOD"
"ROLE_T1_Terminal Server Admin","COMPTR_Default Container_CREATE"
"ROLE_T1_Terminal Server Admin","COMPTR_Default Container_DEL"
"ROLE_T1_Terminal Server Admin","SRV_Tier 1 Terminal SRV_MOD"
"ROLE_T1_Terminal Server Admin","SRV_Tier 1 Terminal SRV_RENAME"
"ROLE_T1_Terminal Server Admin","SRV_Tier 1 Terminal SRV_DEL"
"ROLE_T1_Terminal Server Admin","SRV_Tier 1 Terminal SRV_CREATE"
"ROLE_T1_Terminal Server Admin","SRV_Tier 1 Terminal SRV_MOVE"
"ROLE_T1_Terminal Server Admin","SRV_Tier 1 Terminal SRV_LOCAL ADM"
"ROLE_T1_Terminal Server Admin","OU_Tier 1 Terminal SRV_LINK GPO"
"ROLE_T1_Terminal Server Admin","GPO_Tier 1 Terminal SRV_MOD"
"ROLE_T1_Privileged Access Workstation Admin","COMPTR_Tier 1 Privileged Access Workstations_MOD"
"ROLE_T1_Privileged Access Workstation Admin","COMPTR_Tier 1 Privileged Access Workstations_RENAME"
"ROLE_T1_Privileged Access Workstation Admin","COMPTR_Tier 1 Privileged Access Workstations_DEL"
"ROLE_T1_Privileged Access Workstation Admin","COMPTR_Tier 1 Privileged Access Workstations_CREATE"
"ROLE_T1_Privileged Access Workstation Admin","COMPTR_Tier 1 Privileged Access Workstations_MOVE"
"ROLE_T1_Privileged Access Workstation Admin","COMPTR_Tier 1 Privileged Access Workstations_LOCAL ADM"
"ROLE_T1_Privileged Access Workstation Admin","OU_Tier 1 Privileged Access Workstations_LINK GPO"
"ROLE_T1_Privileged Access Workstation Admin","GPO_Tier 1 Privileged Access Workstations_MOD"
"ROLE_T1_Tier 2 Administration Admin","USR_Disabled users OU_ADD"
"ROLE_T1_Tier 2 Administration Admin","USR_Tier 2 ADM Users PW_RST"
"ROLE_T1_Tier 2 Administration Admin","USR_Tier 2 ADM Users_UNLOCK"
"ROLE_T1_Tier 2 Administration Admin","USR_Tier 2 ADM Users_MANAGE"
"ROLE_T1_Tier 2 Administration Admin","USR_Tier 2 ADM Users_DISBL"
"ROLE_T1_Tier 2 Administration Admin","USR_Tier 2 ADM Users_DEL"
"ROLE_T1_Tier 2 Administration Admin","OU_Tier 2 ADM Users_LINK GPO"
"ROLE_T1_Tier 2 Administration Admin","GRP_Tier 2 ADM Roles_MANAGE"
"ROLE_T1_Tier 2 Administration Admin","GRP_Tier 2 ADM Roles_MEMBERSHIP"
"ROLE_T1_Tier 2 Administration Admin","GRP_Tier 2 ADM Access Control_MANAGE"
"ROLE_T1_Tier 2 Administration Admin","GRP_Tier 2 ADM Access Control_MEMBERSHIP"
"ROLE_T1_GPO Creator","Group Policy Creator Owners"
"ROLE_T1_Corporate Access Control Admin","GRP_Roles_MANAGE"
"ROLE_T1_Corporate Access Control Admin","GRP_Roles_MEMBERSHIP"
"ROLE_T1_Corporate Access Control Admin","GRP_Access Control_MANAGE"
"ROLE_T1_Corporate Access Control Admin","GRP_Access Control_MEMBERSHIP"
"ROLE_T2_Workstation Admin","COMPTR_Default Container_CREATE"
"ROLE_T2_Workstation Admin","COMPTR_Default Container_DEL"
"ROLE_T2_Workstation Admin","COMPTR_Tier 2 Workstations_MOD"
"ROLE_T2_Workstation Admin","COMPTR_Tier 2 Workstations_RENAME"
"ROLE_T2_Workstation Admin","COMPTR_Tier 2 Workstations_DEL"
"ROLE_T2_Workstation Admin","COMPTR_Tier 2 Workstations_CREATE"
"ROLE_T2_Workstation Admin","COMPTR_Tier 2 Workstations_MOVE"
"ROLE_T2_Workstation Admin","COMPTR_Tier 2 Workstations_LOCAL ADM"
"ROLE_T2_Workstation Admin","OU_Tier 2 Workstations_LINK GPO"
"ROLE_T2_Workstation Admin","GPO_Tier 2 Workstations_MOD"
"ROLE_T2_GPO Creator","Group Policy Creator Owners"
"ROLE_T2_User Admin","USR_Disabled users OU_ADD"
"ROLE_T2_User Admin","USR_Corporate Users PW_RST"
"ROLE_T2_User Admin","USR_Corporate Users_UNLOCK"
"ROLE_T2_User Admin","USR_Corporate Users_MANAGE"
"ROLE_T2_User Admin","USR_Corporate Users_DISBL"
"ROLE_T2_User Admin","USR_Corporate Users_DEL"
"ROLE_T2_User Admin","OU_Corporate Users_LINK GPO"
"ROLE_T2_User Admin","GPO_Corporate Users_MOD"
"ROLE_T2_Corporate Access Control Manager","GRP_Roles_MEMBERSHIP"
"ROLE_T2_Helpdesk","USR_Disabled users OU_ADD"
"ROLE_T2_Helpdesk","COMPTR_Tier 2 Workstations_RENAME"
"ROLE_T2_Helpdesk","COMPTR_Tier 2 Workstations_LOCAL ADM"
"ROLE_T2_Helpdesk","USR_Corporate Users PW_RST"
"ROLE_T2_Helpdesk","USR_Corporate Users_UNLOCK"
"ROLE_T2_Helpdesk","USR_Corporate Users_DISBL"
"ROLE_Tier 0 Admin","Protected users"
"ROLE_Tier 1 Admin","Protected users"
"ROLE_Tier 2 Admin","Protected users"
"ROLE_Tier 0 Admin","PSO_Tier 0 ADM Users_APPLY"
"ROLE_Tier 1 Admin","PSO_Tier 1 ADM Users_APPLY"
"ROLE_Tier 2 Admin","PSO_Tier 2 ADM Users_APPLY"
"ROLE_Server","CERT_RDP Certificate Template_ENROLL"